ID,Nama,Umur,Jenis Kelamin,Penghasilan (juta/tahun),Skor Pengeluaran
1,Pelanggan_1,58,Laki-laki,26,95
2,Pelanggan_2,35,Laki-laki,77,18
3,Pelanggan_3,65,Laki-laki,193,95
4,Pelanggan_4,52,Laki-laki,171,55
5,Pelanggan_5,20,Laki-laki,43,28
6,Pelanggan_6,32,Laki-laki,163,26
7,Pelanggan_7,63,Perempuan,76,58
8,Pelanggan_8,55,Perempuan,21,98
9,Pelanggan_9,28,Perempuan,107,36
10,Pelanggan_10,27,Laki-laki,106,14
11,Pelanggan_11,23,Perempuan,44,46
12,Pelanggan_12,40,Perempuan,31,94
13,Pelanggan_13,47,Laki-laki,116,11
14,Pelanggan_14,53,Perempuan,180,80
15,Pelanggan_15,41,Laki-laki,200,9
16,Pelanggan_16,20,Laki-laki,94,11
17,Pelanggan_17,32,Laki-laki,117,36
18,Pelanggan_18,47,Perempuan,61,48
19,Pelanggan_19,40,Laki-laki,191,35
20,Pelanggan_20,62,Laki-laki,175,82
21,Pelanggan_21,28,Laki-laki,61,60
22,Pelanggan_22,42,Perempuan,183,89
23,Pelanggan_23,53,Laki-laki,195,42
24,Pelanggan_24,21,Laki-laki,28,41
25,Pelanggan_25,43,Perempuan,36,28
26,Pelanggan_26,54,Perempuan,74,84
27,Pelanggan_27,49,Perempuan,184,59
28,Pelanggan_28,27,Perempuan,55,32
29,Pelanggan_29,65,Perempuan,169,55
30,Pelanggan_30,55,Perempuan,112,29
31,Pelanggan_31,26,Perempuan,43,97
32,Pelanggan_32,21,Laki-laki,59,81
33,Pelanggan_33,28,Perempuan,172,9
34,Pelanggan_34,42,Perempuan,172,60
35,Pelanggan_35,51,Perempuan,161,2
36,Pelanggan_36,61,Laki-laki,194,69
37,Pelanggan_37,35,Perempuan,48,38
38,Pelanggan_38,45,Laki-laki,136,1
39,Pelanggan_39,64,Perempuan,148,98
40,Pelanggan_40,29,Laki-laki,180,39
41,Pelanggan_41,58,Laki-laki,59,48
42,Pelanggan_42,28,Laki-laki,173,42
43,Pelanggan_43,49,Laki-laki,48,47
44,Pelanggan_44,37,Laki-laki,34,31
45,Pelanggan_45,54,Laki-laki,41,94
46,Pelanggan_46,49,Laki-laki,156,99
47,Pelanggan_47,26,Laki-laki,188,61
48,Pelanggan_48,53,Laki-laki,87,68
49,Pelanggan_49,56,Perempuan,74,70
50,Pelanggan_50,64,Laki-laki,99,52
